fichier,siren,cloture,nom,ville,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,cac_certifie,statut,score,niveau,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,error
398581124_31122008.pdf,39858112400011,2008-12-31,Association Espace Environnement 08,Attigny,911794,-15059,-12574,176045,97979,302347,86,true,deficit,49,C,14.2,18.2,4.3,2.1,10,
398581124_31122009.pdf,398581124,2009-12-31,ASSOCIATION ESPACE ENVIRONNEMENT 08,ATTIGNY,933978,-35058,-24818,151227,77787,301412,36,true,deficit,52,C,13.1,15.7,3.3,9.6,10,
398581124_31122010.pdf,398581124,2010-12-31,ASSOCIATION ESPACE ENVIRONNEMENT 08,ATTIGNY,845619,15589,9732,160958,138026,369626,39,true,excedent,55,C,15.9,13.6,6.5,9.2,10,
398581124_31122011.pdf,398581124,2011-12-31,Association Espace Environnement 08,Attigny,863329,15589,-80738,80220,50070,178646,38,true,ambigu,52,C,15.9,14.0,2.3,9.3,10,
398581124_31122012.pdf,39858112400011,2012-12-31,ESPACE ENVIRONNEMENT 08,ATTIGNY,1021295,-45568,-47006,33213,11981,121059,35,true,deficit,42,C,12.8,8.6,0.5,9.8,10,
398581124_31122013.pdf,39858112400037,2013-12-31,ESPACE ENVIRONNEMENT 08,ATTIGNY,1079100,31766,32242,76678,12519,242338,38,true,excedent,46,C,16.5,9.9,0.5,9.3,10,
398581124_31122014.pdf,39858112400037,2014-12-31,ASSOCIATION ESPACE ENVIRONNEMENT 08,ATTIGNY,1077222,53654,52373,129336,125194,319332,45,true,excedent,53,C,17.5,12.7,4.6,8.3,10,
398581124_31122015.pdf,398581124,2015-12-31,ASSOCIATION ESPACE ENVIRONNEMENT 08,ATTIGNY,1160414,16739,-55727,153234,148284,356880,27,true,ambigu,55,C,15.7,13.4,5.1,11.0,10,
398581124_31122016.pdf,398851124000037,2016-12-31,ASSOCIATION ESPACE ENVIRONNEMENT 08,REIMS,391083,-10783,-5756,190072,131652,233315,49,false,deficit,60,B,13.6,25,13.5,7.7,0,
398581124_31122017.pdf,39858112400037,2017-12-31,ESPACE ENVIRONNEMENT 08,ATTIGNY,1143728,-37483,-36374,106672,85103,261672,22,true,deficit,51,C,13.4,12.7,3.0,11.7,10,
398581124_31122019.pdf,39858112400037,2019-12-31,ESPACE ENVIRONNEMENT 08,ATTIGNY,1116149,10736,14551,143218,41725,290981,20,true,excedent,54,C,15.5,15.4,1.5,12.0,10,
398581124_31122020.pdf,39858112400037,2020-12-31,Association Espace Environnement 08,Attigny,974848,-90257,-59999,58775,34780,267093,19,true,deficit,41,C,10.4,6.9,1.4,12.2,10,
398581124_31122021.pdf,39858112400037,2021-12-31,ESPACE ENVIRONNEMENT 08,ATTIGNY,1197192,-55978,-50791,1469,48902,226938,15,true,deficit,37,D,12.7,0.2,1.6,12.8,10,
399697184_31122018.pdf,,2018-12-31,ESPACE PETITE ENFANCE,CAUSSADE,215078,-4160,-350,24019,19250,50025,81,false,deficit,36,D,14.0,15.0,3.6,2.9,0,
399697184_31122020.pdf,39969718400030,2020-12-31,ASSOC ESPACE PETITE ENFANCE,CAUSSADE,233310,24438,25205,56855,57363,80698,76,false,excedent,56,C,20.2,22.0,9.8,3.6,0,
399697184_31122021.pdf,,2021-12-31,ASSOC ESPACE PETITE ENFANCE,,222305,-7155,-6566,49614,52335,76770,80,false,deficit,46,C,13.4,20.2,9.4,3.0,0,
399845114_31122006.pdf,399845114,2008-12-31,Association A.G.I.I.E,Louvroil,2327718,60539,60709,127886,78400,530091,72,true,excedent,39,D,16.3,7.5,1.3,4.2,10,
399845114_31122007.pdf,399845114,2008-12-31,Association A.G.I.I.E,Louvroil,1017914,60709,60709,127886,78400,530091,1,true,excedent,54,C,18.0,7.5,3.1,14.9,10,
399845114_31122008.pdf,399845114,2008-12-31,Association A.G.I.I.E,Louvroil,2327718,60539,60709,127886,78400,530091,72,true,excedent,39,D,16.3,7.5,1.3,4.2,10,
399845114_31122021.pdf,,2021-12-31,AGIIE,,3610947,-1838,8301,500306,433442,2028212,74,false,ambigu,31,D,15.0,7.7,4.8,3.9,0,
399845114_31122022.pdf,,2022-12-31,AGIIE,Hauts-de-France,3986305,63757,91756,682063,162809,1713860,73,true,excedent,44,C,15.8,12.4,1.6,4.1,10,
399845114_31122023.pdf,,2023-12-31,AGIIE,,4124918,30776,47551,729614,184728,1635166,72,true,excedent,45,C,15.4,13.9,1.8,4.2,10,
402517049_30062009.pdf,,2009-06-30,RUGBY NICE COTE D'AZUR UNIVERSITE RACING,NICE,878267,87863,80994,25899,7443,340108,48,true,excedent,41,C,20.0,2.4,0.3,7.8,10,
402517049_31122010.pdf,,2010-06-30,RUGBY NICE COTE D'AZUR UNIVERSITE RACING,Nice,782401,115870,-107236,-81337,3663,160839,47,true,ambigu,41,C,22.4,0,0.2,8.0,10,
403014012_31122023.pdf,,2022-12-31,Association MAG JEUNES,PARIS,462646,-240517,-205505,-114650,13997,398706,44,false,deficit,10,E,0,0,1.2,8.4,0,
403384100_31122017.pdf,,2017-12-31,ASSOCIATION LES GOONIES,ST GILLES LES BAINS,381645,-6741,-6737,-113983,21802,347796,67,true,deficit,31,D,14.1,0,2.3,5.0,10,
403384100_31122018.pdf,,2018-12-31,ASSOCIATION LES GOONIES,SAINT GILLES LES BAINS,410799,52860,52860,113983,60753,383788,59,true,excedent,53,C,21.4,9.3,5.9,6.1,10,
403384100_31122019.pdf,,2019-12-31,ASSOCIATION LES GOONIES,ST GILLES LES BAINS,418183,39051,39058,22065,48373,392093,55,true,excedent,43,C,19.7,1.8,4.6,6.8,10,
403384100_31122020.pdf,,2020-12-31,ASSOCIATION LES GOONIES,SAINT GILLES LES BAINS,331903,27484,-24578,-46767,24359,59899,39,true,ambigu,41,C,19.1,0,2.9,9.2,10,
405049420_31122009.pdf,,2009-12-31,AMIDON 45,ORLEANS,279419,-1570,5987,67641,50887,108325,55,true,ambigu,58,C,14.7,19.5,7.3,6.8,10,
405049420_31122011.pdf,,2011-12-31,Association AMIDON 45,ORLEANS,334335,23748,-16120,56148,59834,103982,47,true,ambigu,61,B,18.6,16.9,7.2,8.0,10,
405049420_31122012.pdf,40504942,2012-12-31,ASS AMIDON 45,ORLEANS,303363,-9909,-4028,67578,57988,133217,49,false,deficit,45,C,13.4,15.9,7.6,7.7,0,
405049420_31122014.pdf,,2014-12-31,AMIDON 45,,305645,1200,11941,,,,37,false,excedent,25,D,15.2,0,0.0,9.5,0,
409031184_31122010.pdf,,2010-12-31,MAISON DU DIABETE DE LA REUNION,SAINT-DENIS,308038,27008,27008,53107,67831,77439,93,true,excedent,61,B,19.4,21.4,8.8,1.1,10,
409031184_31122013.pdf,,2012-12-31,MAISON DU DIABETE DE LA REUNION,LE TAMPON,301756,12835,12093,49469,113634,169876,98,true,excedent,52,C,17.1,9.1,15.1,0.3,10,
412859670_31122011.pdf,,2011-12-31,ADMR SCARPE SENSEE,ECOUST SAINT MEIN,4097297,59261,32609,933090,765272,1985370,9,true,excedent,62,B,15.7,14.7,7.5,13.7,10,
412859670_31122012.pdf,,2012-12-31,ADMR SCARPE SENSEE,ECOUST SAINT MEIN,4131774,12185,8984,10247,544335,1533763,11,true,excedent,44,C,15.1,0.2,5.3,13.4,10,
413755760_31122022.pdf,413755760,2022-12-31,LE JARDIN DE POUCELINA,SAINTE CLOTILDE,398294,-174633,-50287,755046,4287,912275,49,false,deficit,33,D,0,25,0.4,7.7,0,
421007568_31122021.pdf,,2021-12-31,ASSOCIATION SPORTS ET LOISIRS,TOULOUSE,225289,31933,33988,202789,122944,476073,100,false,excedent,55,C,22.1,13.3,20,0.0,0,
422979005_30112022.pdf,422979005,2022-11-30,Association WOODSTOWER,LYON,1966187,-107333,-106328,73591,293054,504661,21,true,deficit,45,C,12.3,4.6,6.0,11.9,10,
422979005_30112023.pdf,422979005,2023-11-30,Association WOODSTOWER,LYON,2426028,-176689,-177875,-94947,144154,590871,30,true,deficit,34,D,11.4,0,2.4,10.5,10,
422979005_31102019.pdf,422979005,2019-10-31,Association WOODSTOWER,LYON,1271202,37891,30466,75676,404282,545952,14,false,excedent,46,C,16.5,4.3,12.7,12.9,0,
422979005_31102020.pdf,422979005,2020-10-31,Association WOODSTOWER,LYON,326187,115206,93002,168177,320692,428287,69,false,excedent,67,B,30,12.3,20,4.7,0,
422979005_31102020_rectif1.pdf,422979005,2020-10-31,Association WOODSTOWER,LYON,326187,115206,93002,168177,320692,428287,69,true,excedent,77,B,30,12.3,20,4.7,10,
422979005_31102021.pdf,422979005,2021-10-31,Association WOODSTOWER,LYON,1141309,-2148,-2002,171237,361378,523375,42,true,deficit,57,C,14.9,10.2,12.7,8.7,10,
