siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id,nom_officiel,nature_juridique,tranche_effectif,activite_principale,categorie,etat,rna
923186787,Association CENTRE DE SANTE MEDICO DENTAIRE CREIL (CSMDCR),Creil,60100,75,2026-04-24,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600794081,CENTRE DE SANTE MEDICO DENTAIRE CREIL (CSMDCR),9220,03,86.23Z,PME,A,W604009186
311441612,ASSOCIATION D’ANIMATION POPULAIRE INTER-QUARTIERS,Rochefort sur Mer,17300,17,2025-07-10,2025-06-10,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202501312378,ASS ANIMATION POPULAIRE INTER QUARTIERS (A. A. P. I. Q),9220,12,88.99B,PME,A,W172000707
433318607,ASSOCIATION PATRIMOINE ET SAVOIRS (APS),Petit-Canal,97131,971,2025-01-24,2024-12-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202500173379,ASSOCIATION PATRIMOINE ET SAVOIRS (APS),9220,01,94.99Z,PME,A,W9G2003691
832572689,ASSOCIATION RESEAU D’ECHANGES ET DE RESTAURATION (RER),Sarcelles,95200,95,2026-04-22,2026-04-09,Autre jugement et ordonnance,Extrait de jugement,A202600771998,RESEAU D'ECHANGES ET DE RESTAURATION,9220,NN,94.99Z,PME,A,W952009283
410393482,L’ASSOCIATION ERMONT BALZAC,Saint-Gratien,95210,95,2026-01-13,2025-11-25,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600073098,ASSOCIATION ERMONT BALZAC,9220,01,94.99Z,PME,A,W953003619
818007460,Association FRANCAIS POUR L'INSERTION SOCIALE ET PROFESSIONNELLE EN EUROPE - Sigle: FISPE,Paris,75017,75,2025-05-04,2025-04-17,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202500865212,FRANCAIS POUR L'INSERTION SOCIALE ET PROFESSIONNELLE EN EUROPE (FISPE),9220,03,88.99B,PME,A,W751231216
332618131,ASSOCIATION PARTAGE SOLIDARITE PAR LE TRAVAIL ECOMMOY,Ecommoy,72220,72,2026-04-21,2026-04-14,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202600765701,ASS PARTAGE SOLIDARITE PAR LE TRAVAIL,9222,11,78.30Z,PME,A,W723001321
319606331,association FEDERATION DES COLLECTIFS EN GESTION ET ACCOMPAGNEMENT (anciennement dénommée FEDERATION CENTRES GESTION AGREES),Paris),75017,75,2026-04-19,2026-04-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600752780,FEDERATION CENTRES GESTION AGREES,9220,02,94.11Z,PME,A,W751047815
924289200,Association BILINGUAL INTERNATIONAL SECONDARY SCHOOL PARIS - Sigle: BISSP,Paris,75015,75,2026-04-19,2026-04-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600752756,BILINGUAL INTERNATIONAL SECONDARY SCHOOL PARIS (BISSP),9220,11,85.59B,PME,A,W751271529
890759152,association LANTANA PAYSAGISTES ENSEMBLE - Sigle:ALPE,Paris,75008,75,2026-04-19,2026-04-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600752781,ASSOCIATION LANTANA PAYSAGISTES ENSEMBLE (ALPE),9220,01,94.12Z,PME,A,W751257763
878311208,ASSOCIATION CENTRE DE SANTE MEDICO DENTAIRE SAINT-GEORGES (C.S.D.S.G),Nancy,54000,75,2024-10-04,2024-09-18,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202401933149,CENTRE DE SANTE MEDICO DENTAIRE SAINT-GEORGES (C.S.M.D.S.G.),9220,03,86.23Z,PME,A,W543014219
494991433,EUROPEAN ASSOCIATION FOR SCIENTIFIC CAREER ORIENTATION,PARAY VIEILLE POSTE,91550,91,2025-09-17,2025-09-11,Autre jugement et ordonnance,Extrait de jugement,A202501781593,EUROPEAN ASSOCIATION FOR SCIENTIFIC CAREER ORIENTATION (EASCO),9220,NN,85.42Z,PME,C,W913001689
412243784,ASSOCIATION CINEM'AUDE VAP,NARBONNE,11100,11,2026-04-16,2026-04-13,Autre jugement et ordonnance,Extrait de jugement,A202600732147,CINEM'AUDE 2000 VILATGE AL PAIS,9220,11,59.14Z,PME,A,W113002720
