siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
852660075,ASSOCIATION KARA PRODUCTION,Paris,75012,75,2022-12-06,2022-11-17,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202363083
454028242,ASSOCIATION MAISON QUARTIER LAURIERS WEBBE,Pointe-à-Pitre,97110,971,2022-12-06,2022-11-21,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202363169
850852823,ASSOCIATION A CAT IN THE MOON,Paris,75014,75,2022-12-06,2022-11-24,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202363090
852713940,Association DEUX BRUITS QUI COURENT,Romans-sur-Isère,26100,26,2022-12-06,2022-11-13,Dépôt de l'état des créances,Avis de dépôt,A202202362932
,ASSOCIATION ADES 44,Saint-Herblain,44800,44,2022-12-04,2022-11-15,Dépôt de l'état des créances,Avis de dépôt,A202202352377
447713926,ASSOCIATION CENTRE DE FORMATION D’APPRENTIS DE LA POISSONNERIE DU MARCHE INTERNATIONAL DE RUNGIS,Rungis,94150,94,2022-12-04,2022-11-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202352763
843897406,ASSOCIATION GV PALUSIENNE,Epaux-Bézu,02400,02,2022-12-04,2022-11-03,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202352125
,ASSOCIATION ACCOMPAGNEMENT MIGRANTS INTEGRATION,Nantes,44100,44,2022-12-04,2022-11-23,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202202352374
884033861,ASSOCIATION SONORI’TERRES,Dijon,21000,21,2022-12-02,2022-11-18,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202342032
,ASSOCIATION DU FESTIVAL DE GAVARNIE,Gavarnie,65120,65,2022-12-01,2022-11-08,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A2022023368
,ASSOCIATION TOUS LES MEMES,Toulouse,31200,31,2022-12-01,2022-11-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A2022023320
,ASSOCIATION LE MIROIR - GRANGE DU BOIS,Le Miroir,71480,71,2022-12-01,2022-11-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A2022023374
306460791,ASSOCIATION SARCELLES JEUNES,Sarcelles,95200,95,2022-12-01,2022-11-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A2022023388
,ASSOCIATION GROUPEMENT D’EMPLOYEURS DES ENTREPRISES LEMAITRE,Maillot,89100,89,2022-12-01,2022-11-07,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A2022023382
402388714,"L’ASSOCIATION PROJET THELEME, LA SCI DOMAINE DU HOUVRE, LA SCEA LA COUR DE FRANCE",Pierrefitte-en-Auge,14130,14,2022-12-01,2022-10-20,Autre arrêt de la Cour d'Appel,Arrêt de la Cour d'Appel,A2022023313
,ASSOCIATION ADOMIA,Chatou,78400,78,2022-12-01,2022-11-07,Jugement de plan de redressement,Extrait de jugement,A2022023379
