fichier,siren,cloture,nom,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,ratio_rentabilite,ratio_solidite,ratio_liquidite,ratio_resultat_net,cac_certifie,effectif_estime,ape_section,departement,label
510583594_31122022.pdf,510583594,2022-12-31,LE K'FE QUOI,393134.0,-15403.0,-11662.0,-27617.0,18311.0,137061.0,76.0,-0.03918002513138014,-0.20149422519899898,0.04657699410379158,-0.029664185748370785,1,7.5,90,04,1
519189492_31122021.pdf,519189492,2021-12-31,Association RESEAU DE SANTE INTERMED,3660194.0,181186.0,171486.0,466207.0,796306.0,1610206.0,81.0,0.04950174772156886,0.2895325194416118,0.21755841357042824,0.046851614969042624,1,74.0,88,69,1
519189492_31122022.pdf,519189492,2022-12-31,RESEAU INTERMED,3412461.0,87563.0,62828.0,495235.0,331271.0,1510163.0,86.0,0.02565978043412071,0.3279347990912239,0.09707686036558366,0.018411345946517776,0,74.0,88,69,1
520293457_31122023.pdf,520293457,2023-12-31,Ligue de l'Enseignement de Saône et Loire,345457.0,,-71463.0,-23688.0,37852.0,112107.0,51.0,,-0.21129813481762957,0.10957080041799704,-0.20686510911632996,1,7.5,94,71,1
775558786_31122021.pdf,775558786,2021-12-31,Association ADRIM,5401417.0,-92233.0,-51552.0,-639115.0,163579.0,734996.0,60.0,-0.017075704393865535,-0.8695489499262581,0.03028446054063221,-0.00954416220780584,0,74.0,87,13,1
775558786_31122022.pdf,775558786,2022-12-31,A.D.R.I.M,5362497.0,111089.0,58600.0,-584395.0,114641.0,612699.0,63.0,0.02071590902521717,-0.9538043966123659,0.021378287018155907,0.010927745041162727,1,74.0,87,13,1
775558786_31122023.pdf,775558786,2023-12-31,Association ADRIM,6427941.0,422154.0,368726.0,-267572.0,593320.0,1297231.0,65.0,0.06567484051269294,-0.20626395761433391,0.0923032740966353,0.057363003176289264,0,74.0,87,13,1
775644677_31082020.pdf,775644677,2020-08-31,ATELIERS D'APPRENTISSAGE DE L'INDUSTRIE,3029768.0,-696263.0,57201.0,7845662.0,1428603.0,9612133.0,46.0,-0.22980736478832703,0.8162248691315445,0.4715222419670417,0.018879663393368735,1,34.0,85,69,1
775644677_31082021.pdf,775644677,2021-08-31,ATELIERS D'APPRENTISSAGE DE L'INDUSTRIE - ASSOCIATION,2902883.0,-1218511.0,-1299492.0,6692683.0,377979.0,9712599.0,53.0,-0.4197589086435795,0.6890723070107188,0.1302081413546464,-0.44765565818532815,1,34.0,85,69,1
775674260_31122023.pdf,775674260,2023-12-31,FEDERATION UNIE DES AUBERGES DE JEUNESSE,33809443.0,-1049181.0,914272.0,49649.0,2881922.0,21166145.0,3.0,-0.031032188255807704,0.0023456798580941403,0.08524015021483791,0.02704191252130359,1,374.0,55,75,1
