url,title,pdf_url,chambre,exercices,pub_date,is_loi_1901
https://www.ccomptes.fr/fr/publications/association-maison-departementale-des-adolescents-du-gard,Association Maison départementale des adolescents du Gard,https://www.ccomptes.fr/sites/default/files/2025-01/OCR2025-01.pdf,Occitanie,,2025-01-27,true
https://www.ccomptes.fr/fr/publications/association-ado-66-maison-des-adolescents-66-pyrenees-orientales,Association ADO 66 - Maison des adolescents 66 (Pyrénées-Orientales),https://www.ccomptes.fr/sites/default/files/2025-01/OCR2024-52.pdf,Occitanie,2019-2023,2025-01-13,true
https://www.ccomptes.fr/fr/publications/fondation-assistance-aux-animaux-0,Fondation Assistance aux Animaux,https://www.ccomptes.fr/sites/default/files/2025-01/20250108-S-2024-1612_Arret_Affaire-874-Fondation-assistance-aux-animaux.pdf,Corse,,2025-01-08,true
https://www.ccomptes.fr/fr/publications/association-mission-locale-de-la-lozere-maison-des-adolescents-48-lozere,Association mission locale de la Lozère - Maison des adolescents 48 (Lozère),https://www.ccomptes.fr/sites/default/files/2025-01/OCR2024-49.pdf,Occitanie,2019-2023,2025-01-07,true
https://www.ccomptes.fr/fr/publications/association-le-fil-dariane-nievre,"Association ""Le Fil d'Ariane"" (Nièvre)",https://www.ccomptes.fr/sites/default/files/2024-12/BFR2024-26.pdf,,2019-2022,2024-12-19,false
https://www.ccomptes.fr/fr/publications/association-departementale-des-pupilles-de-lenseignement-public-de-laude-maison-des,Association départementale des pupilles de l’enseignement public de l’Aude - Maison des adolescents 11 (Aude),https://www.ccomptes.fr/sites/default/files/2024-12/OCR2024-40.pdf,Occitanie,2019-2023,2024-12-16,true
https://www.ccomptes.fr/fr/publications/commune-de-cannes-et-association-jfb-international-horse-show-organisation-alpes,Commune de Cannes et association JFB International Horse Show Organisation (Alpes-Maritimes),https://www.ccomptes.fr/sites/default/files/2024-10/PAR2024-0848.pdf,,,2024-11-18,false
https://www.ccomptes.fr/fr/publications/association-maison-des-adolescents-de-laveyron,Association maison des adolescents de l'Aveyron,https://www.ccomptes.fr/sites/default/files/2024-11/MDA%2012_observations%20d%C3%A9finitives.pdf,Occitanie,2020-2023,2024-11-15,true
https://www.ccomptes.fr/fr/publications/association-de-laquifere-des-calcaires-de-champigny-en-brie-aqui-brie-seine-et-marne,"Association de l'aquifère des calcaires de Champigny-en-Brie ""AQUI' Brie"" (Seine-et-Marne)",https://www.ccomptes.fr/sites/default/files/2024-10/IDR2024-57.pdf,Île-de-France,,2024-10-16,true
https://www.ccomptes.fr/fr/publications/association-la-technopole-dorleans-loiret,Association La Technopole d’Orléans (Loiret),https://www.ccomptes.fr/sites/default/files/2024-09/LA-TECHNOPOLE-D-ORLEANS-ROD2-ET-SA-REPONSE-2024.pdf,,,2024-09-27,false
