url,title,siren,canonical_name,nature_juridique,score,ambiguous,thematic,departement,query_used,nb_candidates
https://www.ccomptes.fr/fr/publications/association-les-nuits-secretes-nord-0,"Association ""Les nuits secrètes"" (Nord)",511605628,LES NUITS SECRETES,9220,1.000,false,false,59,nuits secretes,4
https://www.ccomptes.fr/fr/publications/association-revivre-laval-mayenne,Association Revivre à Laval (Mayenne),786255257,ASSOCIATION REVIVRE,9220,0.750,false,false,53,revivre laval,1
https://www.ccomptes.fr/fr/publications/association-departementale-de-la-vienne-de-parents-de-personnes-handicapees-mentales,Association départementale de la Vienne de parents de personnes handicapées mentales et d'amis (ADAPEI 86) - (Vienne),422626598,ASSOCIATION DEPARTEMENTALE DE LA VIENNE DE PARENTS DE PERSONNES HANDICAPEES MENTALES ET D AMIS (ADAPEI 86),9220,1.000,false,false,86,departementale vienne parents personnes handicapees mentales,3
https://www.ccomptes.fr/fr/publications/association-le-fresnoy-studio-national-des-arts-contemporains-nord,"Association ""Le Fresnoy - Studio national des arts contemporains"" (Nord)",348812140,FRESNOY STUDIO NAL ARTS CONTEMPORAINS,9220,0.977,false,false,59,fresnoy,10
https://www.ccomptes.fr/fr/publications/fondation-de-lap-hp-pour-la-recherche,Fondation de l’AP-HP pour la recherche,817850811,FONDATION DE L AP HP POUR LA RECHERCHE,9300,1.000,false,false,,ap hp recherche,1
https://www.ccomptes.fr/fr/publications/association-viltais-allier,Association Viltaïs (Allier),407521798,VILTAIS,9220,0.917,false,false,03,viltais,1
https://www.ccomptes.fr/fr/publications/association-agence-durbanisme-de-la-region-angevine-aura-maine-et-loire,Association Agence d'urbanisme de la région angevine (AURA) (Maine-et-Loire),942734294,ASSOCIATION AURA,9220,0.500,true,false,42,AURA,20
https://www.ccomptes.fr/fr/publications/association-du-centre-de-formation-des-apprentis-des-maisons-familiales-de-vendee,Association du centre de formation des apprentis des maisons familiales de Vendée,350144044,CENTRE FORMATION PSYCHIATRIE VENDEE,9220,0.850,false,false,85,CENTRE formation,20
https://www.ccomptes.fr/fr/publications/association-du-centre-culturel-de-lancienne-abbaye-des-premontres-de-pont-mousson,Association du Centre culturel de l'ancienne abbaye des Prémontrés de Pont-à-Mousson (Meurthe-et-Moselle),322866484,CENTRE CULTUREL MJC,9220,0.583,true,false,54,CENTRE culturel,20
https://www.ccomptes.fr/fr/publications/association-pour-la-prevention-et-linsertion-socio-educative-en-guadeloupe-apiseg,Association pour la prévention et l'insertion socio-éducative en Guadeloupe (Apiseg),,,,,false,false,971,prevention linsertion socio educative guadeloupe,0
https://www.ccomptes.fr/fr/publications/association-jeunesse-et-avenir-loire-atlantique,Association Jeunesse et Avenir (Loire-Atlantique),305588113,ASSOCIATION JEUNESSE ET AVENIR,9220,0.917,false,false,44,jeunesse avenir,10
https://www.ccomptes.fr/fr/publications/association-mission-locale-de-la-mayenne-mayenne,Association Mission locale de la Mayenne (Mayenne),509761649,MISSION LOCALE POUR L INSERTION PROFESSIONNELLE ET SOCIALE DES JEUNES DE LA MAYENNE (ML),9220,0.695,false,false,53,mission locale mayenne,5
https://www.ccomptes.fr/fr/publications/association-daide-aux-personnes-agees-gerant-letablissement-dhebergement-pour,Association d'aide aux personnes âgées gérant l'établissement d'hébergement pour personnes âgées dépendantes (Ehpad) A Ziglia (Haute-Corse),,,,,false,false,2B,daide personnes agees gerant letablissement dhebergement,0
https://www.ccomptes.fr/fr/publications/association-opera-national-de-lyon-metropole-de-lyon,Association Opéra national de Lyon (métropole de Lyon),339391021,OPERA DE LYON,9220,0.917,false,false,69,OPERA,10
https://www.ccomptes.fr/fr/publications/association-office-de-tourisme-intercommunal-de-bayeux-calvados,"Association ""Office de tourisme intercommunal de Bayeux"" (Calvados)",439170317,OFFICE DE TOURISME DE BAYEUX INTERCOM,9220,0.917,true,false,14,OFFICE,13
https://www.ccomptes.fr/fr/publications/association-les-nids-seine-maritime,Association Les Nids (Seine-Maritime),775701618,FONDATION LES NIDS,9300,0.750,true,false,76,nids,2
https://www.ccomptes.fr/fr/publications/association-centre-choregraphique-national-roubaix-hauts-de-france-nord,Association « Centre chorégraphique national Roubaix Hauts-de-France » (Nord),333976868,CENTRE CHOREGRAPHIQUE NATIONAL ROUBAIX HAUTS-DE-FRANCE (CCN ROUBAIX),9220,1.000,false,false,59,centre choregraphique national roubaix hauts france,13
https://www.ccomptes.fr/fr/publications/association-plan-sequence-pas-de-calais,"Association ""Plan Séquence"" (Pas-de-Calais)",414469726,PLAN SEQUENCE,9220,0.917,false,false,62,plan sequence,10
https://www.ccomptes.fr/fr/publications/association-regionale-specialisee-daction-sociale-deducation-et-danimation-arsea-bas,Association régionale spécialisée d'action sociale d'éducation et d'animation (Arsea) (Bas-Rhin),,,,,false,false,67,regionale specialisee daction sociale deducation danimation,0
https://www.ccomptes.fr/fr/publications/association-realise-meurthe-et-moselle,Association Realise (Meurthe-et-Moselle),775615370,ASSOCIATION REALISE,9220,0.750,false,false,54,realise,1
https://www.ccomptes.fr/fr/publications/association-euralens-pas-de-calais,"Association ""Euralens"" (Pas-de-Calais)",518290713,EURALENS,9220,0.750,false,false,62,euralens,1
https://www.ccomptes.fr/fr/publications/association-anef-loire-saint-etienne-loire,Association « Anef Loire » à Saint-Étienne (Loire),903489128,FONDS DE DOTATION ANEF LOIRE,9300,0.650,true,false,42,anef loire saint etienne,2
https://www.ccomptes.fr/fr/publications/association-signalize-guadeloupe,Association Sign'Alizé (Guadeloupe),813477106,SIGN'ALIZE,9220,0.800,false,false,971,signalize,1
https://www.ccomptes.fr/fr/publications/association-le-clos-du-nid-lozere,"Association ""Le Clos du Nid"" (Lozère)",427614821,ASS  UNAPH CLOS DU NID,9220,0.821,true,false,48,clos nid,8
https://www.ccomptes.fr/fr/publications/association-institut-lumiere-metropole-de-lyon,Association Institut Lumière (Métropole de Lyon),320565914,ASS PREFIGURATION INSTITUT LUMIERE,9220,0.750,false,false,69,institut lumiere,12
https://www.ccomptes.fr/fr/publications/association-interdepartementale-pour-le-developpement-des-actions-en-faveur-des,Association interdépartementale pour le développement des actions en faveur des personnes handicapées et inadaptées (Aidaphi) (Loiret),,,,,false,false,45,interdepartementale developpement actions faveur personnes handicapees,0
